video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=ZjVntWeuVHo&pp=ygUCdXc%3D,/@universityofwashington,UW (University of Washington),2014 Move-in Day at the UW,20K,11 years,Follow brand-new University of Washington students Marisa & Paulo as they move into their rooms at some of the UW's newest ...,2026-01-22 04:52:33.341030
/watch?v=T7T87LRNJg8&pp=ygUCdXc%3D,/@DanhLuong,Danh Luong,A day in my life at the University of Washington | Computer Science major | Cherry Blossom at UW,39K,3 years,[ENGSUB] [VIETSUB] I went back to the University of Washington to meet up with some friends and enjoy student life once again.,2026-01-22 04:52:33.342661
/watch?v=_cwTS3OCOnY&pp=ygUCdXc%3D,/@uwtacoma3145,UW Tacoma,First Generation Fellows / UW Tacoma,695,6 years,At UW Tacoma 56% students are First-Generation. First Generation college students are the students who identify as first in their ...,2026-01-22 04:52:33.343884
/watch?v=YQ-jjrPPpzU&pp=ygUCdXc%3D,/@universityofwashington,UW (University of Washington),UW Campus Tour: Athletic Events,28K,7 years,"Interested in taking in the action at a Huskies football game? How about women's basketball? Tennis? We cover all that and more, ...",2026-01-22 04:52:33.347673
/watch?v=jGLSTWR4x8w&pp=ygUCdXc%3D,/@UW_Athletics,UW Athletics,Boundless Futures: NIL at UW,1K,4 years,UW embraces NIL as the next frontier in college athletics. NIL creates opportunities for student-athletes to work towards their goals ...,2026-01-22 04:52:33.348871
/watch?v=jb8lUqf6YwI&pp=ygUCdXc%3D,/@komonews,KOMO News,UW suspends 21 students involved in pro-Palestinian protest as federal grants examined,403K,8 months,The University of Washington has suspended 21 students who were involved in a pro-Palestinian protest and occupation of the ...,2026-01-22 04:52:33.349951
/watch?v=c1xm4VbbDFo&pp=ygUCdXc%3D,/@uw-milwaukee,UW-Milwaukee,"Congratulations, UW-Milwaukee Class of 2023!",1K,2 years,"Members of the UW-Milwaukee Class of 2023 share their favorite memories, standout moments and advice for future Panthers.",2026-01-22 04:52:33.351108
/watch?v=j9tpvqcSNmE&pp=ygUCdXfSBwkJhwoBhyohjO8%3D,/@universityofwashington,UW (University of Washington),New students welcomed at UW convocation 2019,1.9K,6 years,"Convocation welcomes the entering class and officially marks the beginning of the academic year, with classes starting Sept. 25.",2026-01-22 04:52:33.352215
/watch?v=UCwbJxW-ZRg&pp=ygUCdXc%3D,/@universityofwashington,UW (University of Washington),UW researchers create realistic video from audio files alone,350K,8 years,A new tool developed by computer vision researchers at the University of Washington Paul G. Allen School of Computer Science ...,2026-01-22 04:52:33.355430
/watch?v=SQ0Ecvgkny4&pp=ygUCdXc%3D,/@universityofwashington,UW (University of Washington),UW Parent & Family Weekend 2016,5.7K,9 years,"Enjoy highlights from the University of Washington's inaugural Parent & Family Weekend, which took place on the UW's Seattle ...",2026-01-22 04:52:33.356664
/watch?v=AfjOtJGGGOg&pp=ygUCdXc%3D,/@fox13seattle,FOX 13 Seattle,UW Huskies QB Demond Williams enters transfer portal | FOX 13 Seattle,3.2K,2 weeks,"Just days after he signed a new deal to stay in Seattle, Washington Huskies quarterback Demond Williams announced he's ...",2026-01-22 04:52:33.357758
/shorts/SNEMFYPMPTU,/@komonews,KOMO News,"UW ends suspensions from IEB takeover, vandalism but no charges filed",1.2K,1 day,The University of Washington says suspensions have ended for students involved in a violent takeover and vandalism inside the ...,2026-01-22 04:52:33.358890
/watch?v=VBXAkzOSjNU&pp=ygUCdXc%3D,/@universityofwashington,UW (University of Washington),UW Annual President's Address,853,8 years,President Cauce invites you to her annual address on how the UW is working to advance Washington and the world.,2026-01-22 04:52:33.360588
