video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=T7T87LRNJg8&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@DanhLuong,Danh Luong,A day in my life at the University of Washington | Computer Science major | Cherry Blossom at UW,39K,3 years,[ENGSUB] [VIETSUB] I went back to the University of Washington to meet up with some friends and enjoy student life once again.,2026-01-22 04:46:28.361015
/watch?v=XFMlmKquvgI&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@KING5Seattle,KING 5 Seattle,UW students confront man who disrupted lecture with Nazi salute,38K,3 months,A man interrupted a UW psychology class with a Nazi salute; students quickly pushed him out.,2026-01-22 04:46:28.362485
/watch?v=X5PLCWTsgBA&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),Ask UW Admissions! Six frequent admissions questions answered,10K,10 months,"In this video, Paul Seegert, Director of Admissions for the University of Washington's campus in Seattle, answers six commonly ...",2026-01-22 04:46:28.363795
/watch?v=zri0utqXQ1g&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@collegefinancingcoach,Crystal Clear College Planning,Demystifying University of Washington Admissions: What You Need to Know,2.9K,2 years,"Discover everything you need to know about University of Washington admissions! From GPA requirements to application tips, ...",2026-01-22 04:46:28.365028
/watch?v=AEPZpPdnA3M&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@jessicastarsinspace2563,Jessicastarsinspace,How I Got Into the University of Washington | My Stats + Extracurriculars + More!,15K,5 years,Music Credits: don't leave me here alone by Artificial.Music https://soundcloud.com/artificial-music Creative Commons ...,2026-01-22 04:46:28.366322
/watch?v=hbmOw5OL_e8&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),UW's 2025 video storytelling highlights,871,1 month,"This year at the University of Washington, we saw cosmic images from a brand new telescope and supercharged a breast cancer ...",2026-01-22 04:46:35.676422
/watch?v=64eaz6VlAlI&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@lucylee13,Lucy Lee,week in my life as a grad student in seattle | university of washington,32K,2 years,"shop my favorite long-lasting, affordable jewelry starting at $39! Click here: https://shop.analuisa.com/mb-lucylee #analuisany ...",2026-01-22 04:46:35.677640
/watch?v=z87eMMrftLU&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u0gcJCYcKAYcqIYzv,/@fox13seattle,FOX 13 Seattle,Cameras capture UW football players assaulting bicyclist | FOX 13 Seattle,1.9M,1 year,Newly released video shows the moment two former University of Washington football players assaulted a bicyclist in what Seattle ...,2026-01-22 04:46:35.678912
/watch?v=t79Six0wQz4&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@nolnkim,Nolan Kim,university of washington / most beautiful college campus / cinematic video,51K,5 years,"The other day, I was looking through my computer and realized that I had some footage leftover from the last year of the University ...",2026-01-22 04:46:35.680143
/watch?v=Gzdvdp_8jw4&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@collegeduniastudyabroad,Collegedunia Study Abroad,"University of Washington, Full Admission story 2024 | Indian student in US | Complete Review",10K,2 years,"Apply Now to get up to 50% Off on Application fees and 100% Scholarship on visa fees, Click here: https://bit.ly/46uqr73 About ...",2026-01-22 04:46:35.681696
